"group"	"n"	"trisk"	"y"
"1"	"CTRL"	12	11.534	0
"2"	"TREAT"	30	25.422	5
"3"	"TREAT"	9	8.515	1
"4"	"TREAT"	8	7.036	2
"5"	"TREAT"	10	7.885	2
"6"	"CTRL"	3	2.364	2
"7"	"TREAT"	12	8.8	4
"8"	"CTRL"	4	2.337	2
"9"	"TREAT"	4	3.474	0
"10"	"TREAT"	1	0.238	1
"11"	"TREAT"	2	1.764	0
"12"	"TREAT"	4	4.415	1
"13"	"TREAT"	6	5.556	2
"14"	"CTRL"	3	3	0
"15"	"TREAT"	9	10.695	1
"16"	"TREAT"	2	1.299	0
"17"	"CTRL"	3	3	0
"18"	"TREAT"	4	3.989	0
"19"	"CTRL"	3	1.334	2
"20"	"TREAT"	1	0.844	0
"21"	"CTRL"	4	3.953	0
"22"	"TREAT"	7	6.381	2
"23"	"TREAT"	2	2.345	0
"24"	"TREAT"	22	20.419	4
"25"	"TREAT"	16	12.974	4
"26"	"CTRL"	1	1	0
"27"	"TREAT"	6	6.814	0
"28"	"CTRL"	4	3.353	2
"29"	"TREAT"	20	19.64	3
"30"	"TREAT"	5	5.622	1
"31"	"TREAT"	4	4	0
"32"	"CTRL"	4	3.373	0
"33"	"TREAT"	6	4.323	2
"34"	"CTRL"	23	23.169	3
"35"	"CTRL"	15	11.483	7
"36"	"CTRL"	7	5.995	2
"37"	"CTRL"	8	5.351	4
"38"	"TREAT"	10	8.985	2
"39"	"TREAT"	10	6.768	5
"40"	"CTRL"	5	3.345	2
"41"	"CTRL"	6	2.096	4
"42"	"CTRL"	8	6.156	4
"43"	"CTRL"	8	4.69	3
"44"	"TREAT"	10	8.917	2
"45"	"TREAT"	1	1	0
"46"	"TREAT"	6	4.923	1
"47"	"CTRL"	8	4.079	4
"48"	"TREAT"	7	7.667	0
"49"	"TREAT"	5	5.983	0
"50"	"TREAT"	6	4.376	2
"51"	"TREAT"	6	4.965	1
"52"	"CTRL"	4	3.104	1
"53"	"CTRL"	11	11.067	1
"54"	"CTRL"	9	6.447	4
"55"	"CTRL"	2	1.956	0
"56"	"TREAT"	1	1	0
"57"	"TREAT"	2	2.361	0
"58"	"TREAT"	26	23.112	7
"59"	"CTRL"	3	0.375	3
"60"	"TREAT"	4	4.158	1
"61"	"TREAT"	2	2	0
"62"	"TREAT"	11	10.586	0
"63"	"CTRL"	3	3	0
"64"	"TREAT"	6	5.903	1
"65"	"TREAT"	8	9.296	1
"66"	"TREAT"	6	3.801	3
"67"	"TREAT"	2	1.997	1
"68"	"CTRL"	8	4.381	5
"69"	"TREAT"	4	3.718	1
"70"	"TREAT"	3	2.48	0
"71"	"CTRL"	26	12.857	18
"72"	"TREAT"	6	6.512	0
"73"	"TREAT"	3	2.403	1
"74"	"CTRL"	1	1.841	0
"75"	"TREAT"	2	3.165	0
