"age"	"hours"	"edu"	"race"	"mari.sta"	"workclass"	"gender"	"income"
"1"	25	40	"dropout"	"Black"	"Not_married"	"Private"	"Male"	"<=50K"
"2"	38	50	"HighGrad"	"White"	"Married"	"Private"	"Male"	"<=50K"
"3"	28	40	"Community"	"White"	"Married"	"Local-gov"	"Male"	">50K"
"4"	44	40	"Community"	"Black"	"Married"	"Private"	"Male"	">50K"
"5"	34	30	"dropout"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"6"	63	32	"Master"	"White"	"Married"	"Self-emp-not-inc"	"Male"	">50K"
"7"	24	40	"Community"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"8"	55	10	"dropout"	"White"	"Married"	"Private"	"Male"	"<=50K"
"9"	65	40	"HighGrad"	"White"	"Married"	"Private"	"Male"	">50K"
"10"	36	40	"Bachelors"	"White"	"Married"	"Federal-gov"	"Male"	"<=50K"
"11"	26	39	"HighGrad"	"White"	"Not_married"	"Private"	"Female"	"<=50K"
"12"	48	48	"HighGrad"	"White"	"Married"	"Private"	"Male"	">50K"
"13"	43	50	"Master"	"White"	"Married"	"Private"	"Male"	">50K"
"14"	20	25	"Community"	"White"	"Not_married"	"State-gov"	"Male"	"<=50K"
"15"	43	30	"HighGrad"	"White"	"Married"	"Private"	"Female"	"<=50K"
"16"	37	20	"HighGrad"	"White"	"Widow"	"Private"	"Female"	"<=50K"
"17"	40	45	"PhD"	"Asian-Pac-Islander"	"Married"	"Private"	"Male"	">50K"
"18"	34	47	"Bachelors"	"White"	"Married"	"Private"	"Male"	">50K"
"19"	34	35	"Community"	"Black"	"Not_married"	"Private"	"Female"	"<=50K"
"20"	25	43	"Bachelors"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"21"	25	40	"Bachelors"	"White"	"Married"	"Private"	"Male"	"<=50K"
"22"	22	20	"HighGrad"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"23"	23	54	"HighGrad"	"Black"	"Separated"	"Private"	"Male"	"<=50K"
"24"	54	35	"HighGrad"	"White"	"Married"	"Private"	"Male"	"<=50K"
"25"	32	60	"Community"	"White"	"Not_married"	"Self-emp-not-inc"	"Male"	"<=50K"
"26"	46	38	"Community"	"Black"	"Married"	"State-gov"	"Male"	">50K"
"27"	56	50	"dropout"	"White"	"Widow"	"Self-emp-not-inc"	"Female"	"<=50K"
"28"	24	50	"Bachelors"	"White"	"Not_married"	"Self-emp-not-inc"	"Male"	"<=50K"
"29"	23	40	"Community"	"White"	"Married"	"Local-gov"	"Male"	"<=50K"
"30"	26	40	"HighGrad"	"White"	"Separated"	"Private"	"Female"	"<=50K"
"31"	36	40	"Bachelors"	"White"	"Married"	"Local-gov"	"Male"	">50K"
"32"	22	50	"dropout"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"33"	17	40	"dropout"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"34"	20	40	"HighGrad"	"White"	"Not_married"	"Private"	"Male"	"<=50K"
"35"	65	50	"Master"	"White"	"Married"	"Private"	"Male"	">50K"
"36"	44	45	"Community"	"White"	"Married"	"Self-emp-inc"	"Male"	">50K"
